GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
task-api,com.minidooray.taskapi.task.dto.response,ResponseTaskStatusListDto,18,0,0,0,4,0,4,0,4,0
task-api,com.minidooray.taskapi.task.dto.request,RequestTaskDto,0,54,0,0,0,10,0,10,0,10
task-api,com.minidooray.taskapi.comment.repository.impl,CommentRepositoryImpl,106,7,0,0,20,3,2,1,2,1
task-api,com.minidooray.taskapi.milestone.entity,QMilestone,84,0,4,0,16,0,8,0,6,0
task-api,com.minidooray.taskapi.milestone.entity,Milestone.MilestoneBuilder,8,28,0,0,0,1,1,5,1,5
task-api,com.minidooray.taskapi.milestone.entity,MilestonePeriod,6,12,0,0,2,2,2,2,2,2
task-api,com.minidooray.taskapi.milestone.entity,QMilestonePeriod,60,0,0,0,9,0,4,0,4,0
task-api,com.minidooray.taskapi.milestone.entity,Milestone,14,22,0,0,5,8,4,4,4,4
task-api,com.minidooray.taskapi.priority.exception,NotFoundPriorityException,0,4,0,0,0,2,0,1,0,1
task-api,com.minidooray.taskapi.tag.exception,TagNotBelongToProjectException,6,0,0,0,2,0,1,0,1,0
task-api,com.minidooray.taskapi.tag.exception,NotFoundTagException,0,4,0,0,0,2,0,1,0,1
task-api,com.minidooray.taskapi.member.dto.request,RequestMemberDto,0,18,0,0,0,4,0,4,0,4
task-api,com.minidooray.taskapi.member.dto.request,RequestUpdateMemberDto,0,12,0,0,0,3,0,3,0,3
task-api,com.minidooray.taskapi.projectmember.dto.request,RequestProjectMemberDto,0,6,0,0,0,2,0,2,0,2
task-api,com.minidooray.taskapi.projectmember.dto.request,RequestProjectMemberCreateDto,0,6,0,0,0,2,0,2,0,2
task-api,com.minidooray.taskapi.member.entity,Member,0,22,0,0,0,6,0,5,0,5
task-api,com.minidooray.taskapi.member.entity,QMember,18,39,0,0,2,7,1,3,1,3
task-api,com.minidooray.taskapi.task.service.impl,TaskServiceImpl,0,204,2,8,0,44,2,11,0,8
task-api,com.minidooray.taskapi.project.dto.request,RequestUpdateProjectDto,0,12,0,0,0,4,0,4,0,4
task-api,com.minidooray.taskapi.project.dto.request,RequestCreateProjectDto,0,9,0,0,0,3,0,3,0,3
task-api,com.minidooray.taskapi.project.service.impl,ProjectServiceImpl,0,105,0,2,0,25,0,9,0,8
task-api,com.minidooray.taskapi.projectmember.repository.impl,ProjectMemberRepositoryImpl,1,90,1,1,0,23,1,3,0,3
task-api,com.minidooray.taskapi.comment.controller,commentController,47,6,0,0,10,1,5,1,5,1
task-api,com.minidooray.taskapi.comment.service.impl,CommentServiceImpl,95,12,6,0,24,1,8,1,5,1
task-api,com.minidooray.taskapi.task.exception,NotFoundTaskException,4,0,0,0,2,0,1,0,1,0
task-api,com.minidooray.taskapi.tag.service.impl,TagServiceImpl,0,69,0,0,0,18,0,7,0,7
